lnwage,educ,exper,expsq,black,south,smsa,age,agesq,nearc4
0,0,841,6.3063,29,16,1,2.56,7,1
0,0,729,6.1759,27,9,0,0.81,12,1
0,0,1156,6.5806,34,16,0,2.56,12,1
1,0,729,5.5215,27,10,0,1.0,11,1
1,0,1156,6.5917,34,16,0,2.56,12,1
1,0,676,6.2146,26,8,0,0.64,12,1
1,0,1089,6.3368,33,9,0,0.81,18,1
1,0,841,6.4102,29,9,0,0.81,14,1
1,0,784,6.0521,28,10,0,1.0,12,1
1,0,841,6.2442,29,11,0,1.21,12,1
1,0,784,5.4161,28,13,0,1.69,9,1
1,0,676,5.9915,26,8,0,0.64,12,1
1,0,576,6.0331,24,7,0,0.49,11,1
1,0,900,5.3799,30,13,0,1.69,11,1
1,0,961,6.7957,31,9,1,0.81,16,1
1,0,576,5.7038,24,4,0,0.16,14,1
1,0,1156,5.8464,34,16,0,2.56,12,1
1,0,841,6.4892,29,9,0,0.81,14,1
1,0,676,6.3544,26,10,0,1.0,10,1
1,0,1024,6.4754,32,14,0,1.96,12,1
1,1,1024,6.8501,32,8,0,0.64,18,1
1,0,1156,6.42,34,10,0,1.0,18,1
1,0,1024,6.5876,32,11,0,1.21,15,0
1,0,784,6.4036,28,10,0,1.0,12,1
1,0,1024,6.541,32,14,0,1.96,12,1
1,0,1156,7.2442,34,10,0,1.0,18,0
1,0,676,5.7038,26,8,0,0.64,12,1
1,0,1024,7.4955,32,8,0,0.64,18,1
1,0,625,6.0234,25,7,0,0.49,12,1
1,0,841,6.4489,29,9,0,0.81,14,0
1,0,625,5.3375,25,7,0,0.49,12,1
1,0,625,6.1247,25,7,1,0.49,12,1
1,0,576,6.7142,24,2,0,0.04,16,1
1,0,1156,6.3578,34,10,0,1.0,18,1
1,0,784,5.5413,28,11,0,1.21,11,1
1,0,900,6.869,30,8,0,0.64,16,1
1,0,961,6.8501,31,15,0,2.25,10,1
1,0,1156,7.044,34,10,0,1.0,18,1
1,0,729,5.7807,27,15,0,2.25,6,1
1,0,576,5.4596,24,7,1,0.49,11,1
1,0,1156,6.9078,34,16,0,2.56,12,1
1,0,676,6.1759,26,11,0,1.21,9,1
1,0,1024,6.4362,32,11,0,1.21,15,1
1,0,1156,6.477,34,17,0,2.89,11,1
1,0,576,5.8406,24,6,1,0.36,12,1
1,1,576,5.9402,24,2,0,0.04,16,1
1,0,576,5.8665,24,6,0,0.36,12,1
1,0,625,6.4907,25,6,0,0.36,13,1
1,0,784,6.4313,28,5,0,0.25,17,1
1,0,625,6.0868,25,7,0,0.49,12,1
1,0,676,6.6039,26,8,1,0.64,12,1
1,1,961,5.6348,31,14,1,1.96,11,0
1,0,576,6.073,24,8,0,0.64,10,1
1,0,729,6.5582,27,9,0,0.81,12,1
1,0,729,6.0521,27,9,0,0.81,12,1
1,0,576,6.3474,24,6,0,0.36,12,1
1,0,900,6.2879,30,8,0,0.64,16,1
1,0,1024,6.6067,32,10,0,1.0,16,1
1,0,1024,6.5117,32,13,0,1.69,13,1
1,0,1156,6.6451,34,16,0,2.56,12,1
1,0,576,6.3835,24,6,0,0.36,12,1
1,0,576,5.3613,24,9,1,0.81,9,1
1,0,1156,7.3544,34,12,0,1.44,16,1
1,0,784,6.6516,28,6,0,0.36,16,1
1,1,676,6.3969,26,8,0,0.64,12,1
1,0,576,6.541,24,0,0,0.0,18,1
